event_time,coef,se,lower_95,upper_95
-2,-9.376955983121759,9.3378429754679,-27.679128215038844,8.925216248795325
-1,-1.2327884879176594,1.9335120186560548,-5.022472044483527,2.556895068648208
1,-3.4422944454045847,2.3048343708949566,-7.9597698123587,1.0751809215495305
2,-4.527764711267363,2.858276809338532,-10.129987257570885,1.074457835036159
