hs8,tariff_rate,effective_date,list_id
03044300,10%,2018-09-24,List 3
03044400,10%,2018-09-24,List 3
03044500,10%,2018-09-24,List 3
03044600,10%,2018-09-24,List 3
03044700,10%,2018-09-24,List 3
03044800,10%,2018-09-24,List 3
03044901,10%,2018-09-24,List 3
03045101,10%,2018-09-24,List 3
03045200,10%,2018-09-24,List 3
03045300,10%,2018-09-24,List 3
03045400,10%,2018-09-24,List 3
03045500,10%,2018-09-24,List 3
03045600,10%,2018-09-24,List 3
03045700,10%,2018-09-24,List 3
03045900,10%,2018-09-24,List 3
03046100,10%,2018-09-24,List 3
03046200,10%,2018-09-24,List 3
03046300,10%,2018-09-24,List 3
03046900,10%,2018-09-24,List 3
03047250,10%,2018-09-24,List 3
03047310,10%,2018-09-24,List 3
03047350,10%,2018-09-24,List 3
03047410,10%,2018-09-24,List 3
03047450,10%,2018-09-24,List 3
03047910,10%,2018-09-24,List 3
03047950,10%,2018-09-24,List 3
03048110,10%,2018-09-24,List 3
03048150,10%,2018-09-24,List 3
03048210,10%,2018-09-24,List 3
03048250,10%,2018-09-24,List 3
03048310,10%,2018-09-24,List 3
03048350,10%,2018-09-24,List 3
03048400,10%,2018-09-24,List 3
03048500,10%,2018-09-24,List 3
03048600,10%,2018-09-24,List 3
03048700,10%,2018-09-24,List 3
03048800,10%,2018-09-24,List 3
03048910,10%,2018-09-24,List 3
03048950,10%,2018-09-24,List 3
03049110,10%,2018-09-24,List 3
03049190,10%,2018-09-24,List 3
03049210,10%,2018-09-24,List 3
03049290,10%,2018-09-24,List 3
03049310,10%,2018-09-24,List 3
03049390,10%,2018-09-24,List 3
03049490,10%,2018-09-24,List 3
03049510,10%,2018-09-24,List 3
03049600,10%,2018-09-24,List 3
03049700,10%,2018-09-24,List 3
03049911,10%,2018-09-24,List 3
03049991,10%,2018-09-24,List 3
03051020,10%,2018-09-24,List 3
03051040,10%,2018-09-24,List 3
03052020,10%,2018-09-24,List 3
03052040,10%,2018-09-24,List 3
03053101,10%,2018-09-24,List 3
03053200,10%,2018-09-24,List 3
03053920,10%,2018-09-24,List 3
03053940,10%,2018-09-24,List 3
03053961,10%,2018-09-24,List 3
03054100,10%,2018-09-24,List 3
03054200,10%,2018-09-24,List 3
03054300,10%,2018-09-24,List 3
03054401,10%,2018-09-24,List 3
03054920,10%,2018-09-24,List 3
03054940,10%,2018-09-24,List 3
03055100,10%,2018-09-24,List 3
03055200,10%,2018-09-24,List 3
03055300,10%,2018-09-24,List 3
03055400,10%,2018-09-24,List 3
03055900,10%,2018-09-24,List 3
03056120,10%,2018-09-24,List 3
03056140,10%,2018-09-24,List 3
03056200,10%,2018-09-24,List 3
03056320,10%,2018-09-24,List 3
03056340,10%,2018-09-24,List 3
03056360,10%,2018-09-24,List 3
03056410,10%,2018-09-24,List 3
03056450,10%,2018-09-24,List 3
03056910,10%,2018-09-24,List 3
03056920,10%,2018-09-24,List 3
03056930,10%,2018-09-24,List 3
03056940,10%,2018-09-24,List 3
03056950,10%,2018-09-24,List 3
03056960,10%,2018-09-24,List 3
03057100,10%,2018-09-24,List 3
03057200,10%,2018-09-24,List 3
03057900,10%,2018-09-24,List 3
03061100,10%,2018-09-24,List 3
03061200,10%,2018-09-24,List 3
03061420,10%,2018-09-24,List 3
03061440,10%,2018-09-24,List 3
03061500,10%,2018-09-24,List 3
03061600,10%,2018-09-24,List 3
03061700,10%,2018-09-24,List 3
03061900,10%,2018-09-24,List 3
03063100,10%,2018-09-24,List 3
03063200,10%,2018-09-24,List 3
03063320,10%,2018-09-24,List 3
03063340,10%,2018-09-24,List 3
03063400,10%,2018-09-24,List 3
03063500,10%,2018-09-24,List 3
03063600,10%,2018-09-24,List 3
03063900,10%,2018-09-24,List 3
03069100,10%,2018-09-24,List 3
03069200,10%,2018-09-24,List 3
03069320,10%,2018-09-24,List 3
03069340,10%,2018-09-24,List 3
03069400,10%,2018-09-24,List 3
03069500,10%,2018-09-24,List 3
03069900,10%,2018-09-24,List 3
03071100,10%,2018-09-24,List 3
03071200,10%,2018-09-24,List 3
03071901,10%,2018-09-24,List 3
03072100,10%,2018-09-24,List 3
03072200,10%,2018-09-24,List 3
03072901,10%,2018-09-24,List 3
03073100,10%,2018-09-24,List 3
03073200,10%,2018-09-24,List 3
03073901,10%,2018-09-24,List 3
03074200,10%,2018-09-24,List 3
03074300,10%,2018-09-24,List 3
03074901,10%,2018-09-24,List 3
03075100,10%,2018-09-24,List 3
03075200,10%,2018-09-24,List 3
03075901,10%,2018-09-24,List 3
03076000,10%,2018-09-24,List 3
03077100,10%,2018-09-24,List 3
03077200,10%,2018-09-24,List 3
03077901,10%,2018-09-24,List 3
03078100,10%,2018-09-24,List 3
03078200,10%,2018-09-24,List 3
03078300,10%,2018-09-24,List 3
03078400,10%,2018-09-24,List 3
03078700,10%,2018-09-24,List 3
03078800,10%,2018-09-24,List 3
03079102,10%,2018-09-24,List 3
03079200,10%,2018-09-24,List 3
03079902,10%,2018-09-24,List 3
03081100,10%,2018-09-24,List 3
03081200,10%,2018-09-24,List 3
03081901,10%,2018-09-24,List 3
03082100,10%,2018-09-24,List 3
03082200,10%,2018-09-24,List 3
03082901,10%,2018-09-24,List 3
03083000,10%,2018-09-24,List 3
03089000,10%,2018-09-24,List 3
04041005,10%,2018-09-24,List 3
04041008,10%,2018-09-24,List 3
04041011,10%,2018-09-24,List 3
04041015,10%,2018-09-24,List 3
04041020,10%,2018-09-24,List 3
04041048,10%,2018-09-24,List 3
04041050,10%,2018-09-24,List 3
04041090,10%,2018-09-24,List 3
04051005,10%,2018-09-24,List 3
04051010,10%,2018-09-24,List 3
04051020,10%,2018-09-24,List 3
04071900,10%,2018-09-24,List 3
04072100,10%,2018-09-24,List 3
04072900,10%,2018-09-24,List 3
04079000,10%,2018-09-24,List 3
04081100,10%,2018-09-24,List 3
04081900,10%,2018-09-24,List 3
04089900,10%,2018-09-24,List 3
04090000,10%,2018-09-24,List 3
04100000,10%,2018-09-24,List 3
05059020,10%,2018-09-24,List 3
05059060,10%,2018-09-24,List 3
05061000,10%,2018-09-24,List 3
05069000,10%,2018-09-24,List 3
05079000,10%,2018-09-24,List 3
05080000,10%,2018-09-24,List 3
05100040,10%,2018-09-24,List 3
05111000,10%,2018-09-24,List 3
05119100,10%,2018-09-24,List 3
05119920,10%,2018-09-24,List 3
05119930,10%,2018-09-24,List 3
05119933,10%,2018-09-24,List 3
05119936,10%,2018-09-24,List 3
05119940,10%,2018-09-24,List 3
07031020,10%,2018-09-24,List 3
07031030,10%,2018-09-24,List 3
07031040,10%,2018-09-24,List 3
07032000,10%,2018-09-24,List 3
07039000,10%,2018-09-24,List 3
07041020,10%,2018-09-24,List 3
07041040,10%,2018-09-24,List 3
07041060,10%,2018-09-24,List 3
07049020,10%,2018-09-24,List 3
07049040,10%,2018-09-24,List 3
07061005,10%,2018-09-24,List 3
07061010,10%,2018-09-24,List 3
07061020,10%,2018-09-24,List 3
07061040,10%,2018-09-24,List 3
07069020,10%,2018-09-24,List 3
07069030,10%,2018-09-24,List 3
07069040,10%,2018-09-24,List 3
07070050,10%,2018-09-24,List 3
07081020,10%,2018-09-24,List 3
07081040,10%,2018-09-24,List 3
07082020,10%,2018-09-24,List 3
07082090,10%,2018-09-24,List 3
07089015,10%,2018-09-24,List 3
07089040,10%,2018-09-24,List 3
07094020,10%,2018-09-24,List 3
07094040,10%,2018-09-24,List 3
07094060,10%,2018-09-24,List 3
07095101,10%,2018-09-24,List 3
07095910,10%,2018-09-24,List 3
07095990,10%,2018-09-24,List 3
07096020,10%,2018-09-24,List 3
07096040,10%,2018-09-24,List 3
07099320,10%,2018-09-24,List 3
07099905,10%,2018-09-24,List 3
07099910,10%,2018-09-24,List 3
07099914,10%,2018-09-24,List 3
07099930,10%,2018-09-24,List 3
07099945,10%,2018-09-24,List 3
07099990,10%,2018-09-24,List 3
07101000,10%,2018-09-24,List 3
07102120,10%,2018-09-24,List 3
07102140,10%,2018-09-24,List 3
07102210,10%,2018-09-24,List 3
07102215,10%,2018-09-24,List 3
07102220,10%,2018-09-24,List 3
07102225,10%,2018-09-24,List 3
07102237,10%,2018-09-24,List 3
07102240,10%,2018-09-24,List 3
07102905,10%,2018-09-24,List 3
07102925,10%,2018-09-24,List 3
07102930,10%,2018-09-24,List 3
07102940,10%,2018-09-24,List 3
07103000,10%,2018-09-24,List 3
07104000,10%,2018-09-24,List 3
07108015,10%,2018-09-24,List 3
07108020,10%,2018-09-24,List 3
07108040,10%,2018-09-24,List 3
07108045,10%,2018-09-24,List 3
07108050,10%,2018-09-24,List 3
07108065,10%,2018-09-24,List 3
07108070,10%,2018-09-24,List 3
07108093,10%,2018-09-24,List 3
07108097,10%,2018-09-24,List 3
07109011,10%,2018-09-24,List 3
07109091,10%,2018-09-24,List 3
07114000,10%,2018-09-24,List 3
07115100,10%,2018-09-24,List 3
07115910,10%,2018-09-24,List 3
07119020,10%,2018-09-24,List 3
07119050,10%,2018-09-24,List 3
07119065,10%,2018-09-24,List 3
07122020,10%,2018-09-24,List 3
07122040,10%,2018-09-24,List 3
07123110,10%,2018-09-24,List 3
07123120,10%,2018-09-24,List 3
07123200,10%,2018-09-24,List 3
07123300,10%,2018-09-24,List 3
07123910,10%,2018-09-24,List 3
07123920,10%,2018-09-24,List 3
07123940,10%,2018-09-24,List 3
07129010,10%,2018-09-24,List 3
07129015,10%,2018-09-24,List 3
07129020,10%,2018-09-24,List 3
07129030,10%,2018-09-24,List 3
07129040,10%,2018-09-24,List 3
07129060,10%,2018-09-24,List 3
07129065,10%,2018-09-24,List 3
07129070,10%,2018-09-24,List 3
07129074,10%,2018-09-24,List 3
07129078,10%,2018-09-24,List 3
07129085,10%,2018-09-24,List 3
07131010,10%,2018-09-24,List 3
07131020,10%,2018-09-24,List 3
07131040,10%,2018-09-24,List 3
07132010,10%,2018-09-24,List 3
07132020,10%,2018-09-24,List 3
07133110,10%,2018-09-24,List 3
07133120,10%,2018-09-24,List 3
07133140,10%,2018-09-24,List 3
07133210,10%,2018-09-24,List 3
07133220,10%,2018-09-24,List 3
07133310,10%,2018-09-24,List 3
07133320,10%,2018-09-24,List 3
07133340,10%,2018-09-24,List 3
07133420,10%,2018-09-24,List 3
07133440,10%,2018-09-24,List 3
07133500,10%,2018-09-24,List 3
07133911,10%,2018-09-24,List 3
07133921,10%,2018-09-24,List 3
07133941,10%,2018-09-24,List 3
07134010,10%,2018-09-24,List 3
07134020,10%,2018-09-24,List 3
07135010,10%,2018-09-24,List 3
07135020,10%,2018-09-24,List 3
07136060,10%,2018-09-24,List 3
07136080,10%,2018-09-24,List 3
07139011,10%,2018-09-24,List 3
07139050,10%,2018-09-24,List 3
07139061,10%,2018-09-24,List 3
07139081,10%,2018-09-24,List 3
07141020,10%,2018-09-24,List 3
07142010,10%,2018-09-24,List 3
07142020,10%,2018-09-24,List 3
07143010,10%,2018-09-24,List 3
07143020,10%,2018-09-24,List 3
07143060,10%,2018-09-24,List 3
07144010,10%,2018-09-24,List 3
07144020,10%,2018-09-24,List 3
07144050,10%,2018-09-24,List 3
07144060,10%,2018-09-24,List 3
07145010,10%,2018-09-24,List 3
07145020,10%,2018-09-24,List 3
07145050,10%,2018-09-24,List 3
07145060,10%,2018-09-24,List 3
07149005,10%,2018-09-24,List 3
07149039,10%,2018-09-24,List 3
07149041,10%,2018-09-24,List 3
07149042,10%,2018-09-24,List 3
07149044,10%,2018-09-24,List 3
07149046,10%,2018-09-24,List 3
07149048,10%,2018-09-24,List 3
07149051,10%,2018-09-24,List 3
07149061,10%,2018-09-24,List 3
08011100,10%,2018-09-24,List 3
08011901,10%,2018-09-24,List 3
08013100,10%,2018-09-24,List 3
08013200,10%,2018-09-24,List 3
08021100,10%,2018-09-24,List 3
08021200,10%,2018-09-24,List 3
08022200,10%,2018-09-24,List 3
08023100,10%,2018-09-24,List 3
08023200,10%,2018-09-24,List 3
08024100,10%,2018-09-24,List 3
08024200,10%,2018-09-24,List 3
08025100,10%,2018-09-24,List 3
08025200,10%,2018-09-24,List 3
08026200,10%,2018-09-24,List 3
08028020,10%,2018-09-24,List 3
08029010,10%,2018-09-24,List 3
08029015,10%,2018-09-24,List 3
08031020,10%,2018-09-24,List 3
08039000,10%,2018-09-24,List 3
08041020,10%,2018-09-24,List 3
08041040,10%,2018-09-24,List 3
08041060,10%,2018-09-24,List 3
08041080,10%,2018-09-24,List 3
08042040,10%,2018-09-24,List 3
08042060,10%,2018-09-24,List 3
08042080,10%,2018-09-24,List 3
08043020,10%,2018-09-24,List 3
08043040,10%,2018-09-24,List 3
08043060,10%,2018-09-24,List 3
08045040,10%,2018-09-24,List 3
08045060,10%,2018-09-24,List 3
08045080,10%,2018-09-24,List 3
08051000,10%,2018-09-24,List 3
08052100,10%,2018-09-24,List 3
08052200,10%,2018-09-24,List 3
08052900,10%,2018-09-24,List 3
08062010,10%,2018-09-24,List 3
08062020,10%,2018-09-24,List 3
08062090,10%,2018-09-24,List 3
08081000,10%,2018-09-24,List 3
08083020,10%,2018-09-24,List 3
08083040,10%,2018-09-24,List 3
08084020,10%,2018-09-24,List 3
08084040,10%,2018-09-24,List 3
08092900,10%,2018-09-24,List 3
08093020,10%,2018-09-24,List 3
08093040,10%,2018-09-24,List 3
08101020,10%,2018-09-24,List 3
08101040,10%,2018-09-24,List 3
08102010,10%,2018-09-24,List 3
08103000,10%,2018-09-24,List 3
08104000,10%,2018-09-24,List 3
08107000,10%,2018-09-24,List 3
08109027,10%,2018-09-24,List 3
08109046,10%,2018-09-24,List 3
08111000,10%,2018-09-24,List 3
08112020,10%,2018-09-24,List 3
08112040,10%,2018-09-24,List 3
08119010,10%,2018-09-24,List 3
08119020,10%,2018-09-24,List 3
08119022,10%,2018-09-24,List 3
08119025,10%,2018-09-24,List 3
08119030,10%,2018-09-24,List 3
08119035,10%,2018-09-24,List 3
08119040,10%,2018-09-24,List 3
08119050,10%,2018-09-24,List 3
08119052,10%,2018-09-24,List 3
08119055,10%,2018-09-24,List 3
08119080,10%,2018-09-24,List 3
08129010,10%,2018-09-24,List 3
08129020,10%,2018-09-24,List 3
08129030,10%,2018-09-24,List 3
08129040,10%,2018-09-24,List 3
08129050,10%,2018-09-24,List 3
08129090,10%,2018-09-24,List 3
08131000,10%,2018-09-24,List 3
08132010,10%,2018-09-24,List 3
08132020,10%,2018-09-24,List 3
08133000,10%,2018-09-24,List 3
08134010,10%,2018-09-24,List 3
08134015,10%,2018-09-24,List 3
08134020,10%,2018-09-24,List 3
08134030,10%,2018-09-24,List 3
08134040,10%,2018-09-24,List 3
08134080,10%,2018-09-24,List 3
08134090,10%,2018-09-24,List 3
08135000,10%,2018-09-24,List 3
08140010,10%,2018-09-24,List 3
08140040,10%,2018-09-24,List 3
08140080,10%,2018-09-24,List 3
10011100,10%,2018-09-24,List 3
10019900,10%,2018-09-24,List 3
10031000,10%,2018-09-24,List 3
10039020,10%,2018-09-24,List 3
10039040,10%,2018-09-24,List 3
10041000,10%,2018-09-24,List 3
10049000,10%,2018-09-24,List 3
10059020,10%,2018-09-24,List 3
10059040,10%,2018-09-24,List 3
10062020,10%,2018-09-24,List 3
10062040,10%,2018-09-24,List 3
10063010,10%,2018-09-24,List 3
10063090,10%,2018-09-24,List 3
10064000,10%,2018-09-24,List 3
10071000,10%,2018-09-24,List 3
10079000,10%,2018-09-24,List 3
10081000,10%,2018-09-24,List 3
10082100,10%,2018-09-24,List 3
10082900,10%,2018-09-24,List 3
10083000,10%,2018-09-24,List 3
10085000,10%,2018-09-24,List 3
10089001,10%,2018-09-24,List 3
11010000,10%,2018-09-24,List 3
11022000,10%,2018-09-24,List 3
11029020,10%,2018-09-24,List 3
11029025,10%,2018-09-24,List 3
11029027,10%,2018-09-24,List 3
11029030,10%,2018-09-24,List 3
11029060,10%,2018-09-24,List 3
11031100,10%,2018-09-24,List 3
11031300,10%,2018-09-24,List 3
11031912,10%,2018-09-24,List 3
11031914,10%,2018-09-24,List 3
11031990,10%,2018-09-24,List 3
11032000,10%,2018-09-24,List 3
11041200,10%,2018-09-24,List 3
11041910,10%,2018-09-24,List 3
11041990,10%,2018-09-24,List 3
11042200,10%,2018-09-24,List 3
11042300,10%,2018-09-24,List 3
11042910,10%,2018-09-24,List 3
11042990,10%,2018-09-24,List 3
11043000,10%,2018-09-24,List 3
11051000,10%,2018-09-24,List 3
11052000,10%,2018-09-24,List 3
11061000,10%,2018-09-24,List 3
11062010,10%,2018-09-24,List 3
11062090,10%,2018-09-24,List 3
11063020,10%,2018-09-24,List 3
11063040,10%,2018-09-24,List 3
11071000,10%,2018-09-24,List 3
11072000,10%,2018-09-24,List 3
11081100,10%,2018-09-24,List 3
11081200,10%,2018-09-24,List 3
11081300,10%,2018-09-24,List 3
11081400,10%,2018-09-24,List 3
11081900,10%,2018-09-24,List 3
11082000,10%,2018-09-24,List 3
11090010,10%,2018-09-24,List 3
11090090,10%,2018-09-24,List 3
12011000,10%,2018-09-24,List 3
12019000,10%,2018-09-24,List 3
12023040,10%,2018-09-24,List 3
12040000,10%,2018-09-24,List 3
12051000,10%,2018-09-24,List 3
12059000,10%,2018-09-24,List 3
12060000,10%,2018-09-24,List 3
12074000,10%,2018-09-24,List 3
12075000,10%,2018-09-24,List 3
12076000,10%,2018-09-24,List 3
12077000,10%,2018-09-24,List 3
12079100,10%,2018-09-24,List 3
12079903,10%,2018-09-24,List 3
12081000,10%,2018-09-24,List 3
12089000,10%,2018-09-24,List 3
12091000,10%,2018-09-24,List 3
12092100,10%,2018-09-24,List 3
12092500,10%,2018-09-24,List 3
12092910,10%,2018-09-24,List 3
12092991,10%,2018-09-24,List 3
12093000,10%,2018-09-24,List 3
12099110,10%,2018-09-24,List 3
12099120,10%,2018-09-24,List 3
12099140,10%,2018-09-24,List 3
12099150,10%,2018-09-24,List 3
12099160,10%,2018-09-24,List 3
12099180,10%,2018-09-24,List 3
12099920,10%,2018-09-24,List 3
12099941,10%,2018-09-24,List 3
12101000,10%,2018-09-24,List 3
12112010,10%,2018-09-24,List 3
12112015,10%,2018-09-24,List 3
12113000,10%,2018-09-24,List 3
12114000,10%,2018-09-24,List 3
12115000,10%,2018-09-24,List 3
12119020,10%,2018-09-24,List 3
12119040,10%,2018-09-24,List 3
12119092,10%,2018-09-24,List 3
12119093,10%,2018-09-24,List 3
12122100,10%,2018-09-24,List 3
12122900,10%,2018-09-24,List 3
12129200,10%,2018-09-24,List 3
12129920,10%,2018-09-24,List 3
12129930,10%,2018-09-24,List 3
12129992,10%,2018-09-24,List 3
12130000,10%,2018-09-24,List 3
12141000,10%,2018-09-24,List 3
12149000,10%,2018-09-24,List 3
14011000,10%,2018-09-24,List 3
14019020,10%,2018-09-24,List 3
14019040,10%,2018-09-24,List 3
14042000,10%,2018-09-24,List 3
14049010,10%,2018-09-24,List 3
14049030,10%,2018-09-24,List 3
14049040,10%,2018-09-24,List 3
14049090,10%,2018-09-24,List 3
15041020,10%,2018-09-24,List 3
15041040,10%,2018-09-24,List 3
15042020,10%,2018-09-24,List 3
15042040,10%,2018-09-24,List 3
15042060,10%,2018-09-24,List 3
15050010,10%,2018-09-24,List 3
15050090,10%,2018-09-24,List 3
15060000,10%,2018-09-24,List 3
16023200,10%,2018-09-24,List 3
16030010,10%,2018-09-24,List 3
16030090,10%,2018-09-24,List 3
16041120,10%,2018-09-24,List 3
16041140,10%,2018-09-24,List 3
16041220,10%,2018-09-24,List 3
16041240,10%,2018-09-24,List 3
16041260,10%,2018-09-24,List 3
16041310,10%,2018-09-24,List 3
16041320,10%,2018-09-24,List 3
16041330,10%,2018-09-24,List 3
16041340,10%,2018-09-24,List 3
16041390,10%,2018-09-24,List 3
16041410,10%,2018-09-24,List 3
16041422,10%,2018-09-24,List 3
16041430,10%,2018-09-24,List 3
16041440,10%,2018-09-24,List 3
16041450,10%,2018-09-24,List 3
16041470,10%,2018-09-24,List 3
16041480,10%,2018-09-24,List 3
16041500,10%,2018-09-24,List 3
16041620,10%,2018-09-24,List 3
16041640,10%,2018-09-24,List 3
16041660,10%,2018-09-24,List 3
16041710,10%,2018-09-24,List 3
16041740,10%,2018-09-24,List 3
16041750,10%,2018-09-24,List 3
16041760,10%,2018-09-24,List 3
16041780,10%,2018-09-24,List 3
16041810,10%,2018-09-24,List 3
16041890,10%,2018-09-24,List 3
16041910,10%,2018-09-24,List 3
16041922,10%,2018-09-24,List 3
16041925,10%,2018-09-24,List 3
16041932,10%,2018-09-24,List 3
16041941,10%,2018-09-24,List 3
16041951,10%,2018-09-24,List 3
16041961,10%,2018-09-24,List 3
16041982,10%,2018-09-24,List 3
16042005,10%,2018-09-24,List 3
16042010,10%,2018-09-24,List 3
16042015,10%,2018-09-24,List 3
16042020,10%,2018-09-24,List 3
16042025,10%,2018-09-24,List 3
16042030,10%,2018-09-24,List 3
16042040,10%,2018-09-24,List 3
16042050,10%,2018-09-24,List 3
16042060,10%,2018-09-24,List 3
16043100,10%,2018-09-24,List 3
16043230,10%,2018-09-24,List 3
16043240,10%,2018-09-24,List 3
16051005,10%,2018-09-24,List 3
16051020,10%,2018-09-24,List 3
16051040,10%,2018-09-24,List 3
16051060,10%,2018-09-24,List 3
16052105,10%,2018-09-24,List 3
16052110,10%,2018-09-24,List 3
16052905,10%,2018-09-24,List 3
16052910,10%,2018-09-24,List 3
