hs8,list_id,tariff_rate,effective_date,naics6
03034600,List 3,10%,2018-09-24,114111
03034902,List 3,10%,2018-09-24,114111
03035100,List 3,10%,2018-09-24,114111
03035300,List 3,10%,2018-09-24,114111
03035400,List 3,10%,2018-09-24,114111
03035500,List 3,10%,2018-09-24,114111
03035600,List 3,10%,2018-09-24,114111
03035700,List 3,10%,2018-09-24,114111
03035900,List 3,10%,2018-09-24,114111
03036300,List 3,10%,2018-09-24,114111
03036400,List 3,10%,2018-09-24,114111
03036500,List 3,10%,2018-09-24,114111
03036600,List 3,10%,2018-09-24,114111
03036700,List 3,10%,2018-09-24,114111
03036800,List 3,10%,2018-09-24,114111
03038100,List 3,10%,2018-09-24,114111
03038200,List 3,10%,2018-09-24,114111
03038300,List 3,10%,2018-09-24,114111
03038400,List 3,10%,2018-09-24,114111
03038900,List 3,10%,2018-09-24,114111
03039120,List 3,10%,2018-09-24,114111
03039140,List 3,10%,2018-09-24,114111
03039200,List 3,10%,2018-09-24,114111
03039900,List 3,10%,2018-09-24,114111
03043100,List 3,10%,2018-09-24,114111
03043200,List 3,10%,2018-09-24,114111
03043300,List 3,10%,2018-09-24,114111
03043900,List 3,10%,2018-09-24,114111
03044100,List 3,10%,2018-09-24,112511
03044100,List 3,10%,2018-09-24,114111
03044200,List 3,10%,2018-09-24,114111
03044300,List 3,10%,2018-09-24,114111
03044400,List 3,10%,2018-09-24,114111
03044500,List 3,10%,2018-09-24,114111
03044600,List 3,10%,2018-09-24,114111
03044700,List 3,10%,2018-09-24,114111
03044800,List 3,10%,2018-09-24,114111
03044901,List 3,10%,2018-09-24,114111
03045101,List 3,10%,2018-09-24,114111
03045200,List 3,10%,2018-09-24,112511
03045200,List 3,10%,2018-09-24,114111
03045300,List 3,10%,2018-09-24,114111
03045400,List 3,10%,2018-09-24,114111
03045500,List 3,10%,2018-09-24,114111
03045600,List 3,10%,2018-09-24,114111
03045700,List 3,10%,2018-09-24,114111
03045900,List 3,10%,2018-09-24,114111
03046100,List 3,10%,2018-09-24,114111
03046200,List 3,10%,2018-09-24,114111
03046300,List 3,10%,2018-09-24,114111
03046900,List 3,10%,2018-09-24,114111
03047250,List 3,10%,2018-09-24,114111
03047310,List 3,10%,2018-09-24,114111
03047350,List 3,10%,2018-09-24,114111
03047410,List 3,10%,2018-09-24,114111
03047450,List 3,10%,2018-09-24,114111
03047910,List 3,10%,2018-09-24,114111
03047950,List 3,10%,2018-09-24,114111
03048110,List 3,10%,2018-09-24,114111
03048150,List 3,10%,2018-09-24,114111
03048210,List 3,10%,2018-09-24,114111
03048250,List 3,10%,2018-09-24,114111
03048310,List 3,10%,2018-09-24,114111
03048350,List 3,10%,2018-09-24,114111
03048400,List 3,10%,2018-09-24,114111
03048500,List 3,10%,2018-09-24,114111
03048600,List 3,10%,2018-09-24,114111
03048700,List 3,10%,2018-09-24,114111
03048800,List 3,10%,2018-09-24,114111
03048910,List 3,10%,2018-09-24,114111
03048950,List 3,10%,2018-09-24,114111
03049110,List 3,10%,2018-09-24,114111
03049190,List 3,10%,2018-09-24,114111
03049210,List 3,10%,2018-09-24,114111
03049290,List 3,10%,2018-09-24,114111
03049310,List 3,10%,2018-09-24,114111
03049390,List 3,10%,2018-09-24,114111
03049490,List 3,10%,2018-09-24,114111
03049510,List 3,10%,2018-09-24,114111
03049600,List 3,10%,2018-09-24,114111
03049700,List 3,10%,2018-09-24,114111
03049911,List 3,10%,2018-09-24,114111
03049991,List 3,10%,2018-09-24,114111
03051020,List 3,10%,2018-09-24,311710
03051040,List 3,10%,2018-09-24,311710
03052020,List 3,10%,2018-09-24,311710
03052040,List 3,10%,2018-09-24,311710
03053101,List 3,10%,2018-09-24,311710
03053200,List 3,10%,2018-09-24,311710
03053920,List 3,10%,2018-09-24,311710
03053940,List 3,10%,2018-09-24,311710
03053961,List 3,10%,2018-09-24,311710
03054100,List 3,10%,2018-09-24,311710
03054200,List 3,10%,2018-09-24,311710
03054300,List 3,10%,2018-09-24,311710
03054401,List 3,10%,2018-09-24,311710
03054920,List 3,10%,2018-09-24,311710
03054940,List 3,10%,2018-09-24,311710
03055100,List 3,10%,2018-09-24,311710
03055200,List 3,10%,2018-09-24,311710
03055300,List 3,10%,2018-09-24,311710
03055400,List 3,10%,2018-09-24,311710
03055900,List 3,10%,2018-09-24,311710
03056120,List 3,10%,2018-09-24,311710
03056140,List 3,10%,2018-09-24,311710
03056200,List 3,10%,2018-09-24,311710
03056320,List 3,10%,2018-09-24,311710
03056340,List 3,10%,2018-09-24,311710
03056360,List 3,10%,2018-09-24,311710
03056410,List 3,10%,2018-09-24,311710
03056450,List 3,10%,2018-09-24,311710
03056910,List 3,10%,2018-09-24,311710
03056920,List 3,10%,2018-09-24,311710
03056930,List 3,10%,2018-09-24,311710
03056940,List 3,10%,2018-09-24,311710
03056950,List 3,10%,2018-09-24,311710
03056960,List 3,10%,2018-09-24,311710
03057100,List 3,10%,2018-09-24,311710
03057200,List 3,10%,2018-09-24,311710
03057900,List 3,10%,2018-09-24,311710
03061100,List 3,10%,2018-09-24,114112
03061200,List 3,10%,2018-09-24,114112
03061420,List 3,10%,2018-09-24,114112
03061440,List 3,10%,2018-09-24,114112
03061500,List 3,10%,2018-09-24,114112
03061600,List 3,10%,2018-09-24,114112
03061700,List 3,10%,2018-09-24,114112
03061900,List 3,10%,2018-09-24,114112
03061900,List 3,10%,2018-09-24,114111
03063100,List 3,10%,2018-09-24,114112
03063200,List 3,10%,2018-09-24,114112
03063320,List 3,10%,2018-09-24,114112
03063340,List 3,10%,2018-09-24,114112
03063400,List 3,10%,2018-09-24,114112
03063500,List 3,10%,2018-09-24,114112
03063600,List 3,10%,2018-09-24,114112
03063900,List 3,10%,2018-09-24,114112
03069100,List 3,10%,2018-09-24,114112
03069200,List 3,10%,2018-09-24,114112
03069320,List 3,10%,2018-09-24,114112
03069340,List 3,10%,2018-09-24,114112
03069400,List 3,10%,2018-09-24,114112
03069500,List 3,10%,2018-09-24,114112
03069900,List 3,10%,2018-09-24,114112
03071100,List 3,10%,2018-09-24,114112
03071100,List 3,10%,2018-09-24,112512
03071200,List 3,10%,2018-09-24,112512
03071200,List 3,10%,2018-09-24,114112
03071901,List 3,10%,2018-09-24,112512
03071901,List 3,10%,2018-09-24,114112
03072100,List 3,10%,2018-09-24,114112
03072200,List 3,10%,2018-09-24,114112
03072901,List 3,10%,2018-09-24,114112
03073100,List 3,10%,2018-09-24,112512
03073100,List 3,10%,2018-09-24,114112
03073200,List 3,10%,2018-09-24,114112
03073901,List 3,10%,2018-09-24,114112
03074200,List 3,10%,2018-09-24,114112
03074300,List 3,10%,2018-09-24,114112
03074901,List 3,10%,2018-09-24,114112
03075100,List 3,10%,2018-09-24,114112
03075200,List 3,10%,2018-09-24,114112
03075901,List 3,10%,2018-09-24,114112
03076000,List 3,10%,2018-09-24,114112
03077100,List 3,10%,2018-09-24,114112
03077200,List 3,10%,2018-09-24,114112
03077901,List 3,10%,2018-09-24,114112
03078100,List 3,10%,2018-09-24,114112
03078200,List 3,10%,2018-09-24,114112
03078300,List 3,10%,2018-09-24,114112
03078400,List 3,10%,2018-09-24,114112
03078700,List 3,10%,2018-09-24,114112
03078800,List 3,10%,2018-09-24,114112
03079102,List 3,10%,2018-09-24,114112
03079200,List 3,10%,2018-09-24,114112
03079902,List 3,10%,2018-09-24,114112
03081100,List 3,10%,2018-09-24,114112
03081200,List 3,10%,2018-09-24,114112
03081901,List 3,10%,2018-09-24,114112
03082100,List 3,10%,2018-09-24,114112
03082200,List 3,10%,2018-09-24,114112
03082901,List 3,10%,2018-09-24,114112
03083000,List 3,10%,2018-09-24,114112
03089000,List 3,10%,2018-09-24,114112
04041005,List 3,10%,2018-09-24,311514
04041008,List 3,10%,2018-09-24,311514
04041011,List 3,10%,2018-09-24,311514
04041015,List 3,10%,2018-09-24,311514
04041020,List 3,10%,2018-09-24,311513
04041048,List 3,10%,2018-09-24,311514
04041050,List 3,10%,2018-09-24,311514
04041090,List 3,10%,2018-09-24,311514
04051005,List 3,10%,2018-09-24,311512
04051010,List 3,10%,2018-09-24,311512
04051020,List 3,10%,2018-09-24,311512
04071900,List 3,10%,2018-09-24,
04072100,List 3,10%,2018-09-24,
04072900,List 3,10%,2018-09-24,
04079000,List 3,10%,2018-09-24,311999
04081100,List 3,10%,2018-09-24,311999
04081900,List 3,10%,2018-09-24,311999
04089900,List 3,10%,2018-09-24,311999
04090000,List 3,10%,2018-09-24,112910
04100000,List 3,10%,2018-09-24,114119
05059020,List 3,10%,2018-09-24,311613
05059060,List 3,10%,2018-09-24,311613
05061000,List 3,10%,2018-09-24,311611
05069000,List 3,10%,2018-09-24,311611
05079000,List 3,10%,2018-09-24,990000
05080000,List 3,10%,2018-09-24,114119
05100040,List 3,10%,2018-09-24,311611
05111000,List 3,10%,2018-09-24,
05119100,List 3,10%,2018-09-24,311613
05119920,List 3,10%,2018-09-24,311611
05119930,List 3,10%,2018-09-24,311613
05119933,List 3,10%,2018-09-24,990000
05119936,List 3,10%,2018-09-24,114119
05119940,List 3,10%,2018-09-24,311613
07031020,List 3,10%,2018-09-24,111219
07031030,List 3,10%,2018-09-24,111219
07031040,List 3,10%,2018-09-24,111219
07032000,List 3,10%,2018-09-24,111219
07039000,List 3,10%,2018-09-24,111219
07041020,List 3,10%,2018-09-24,111219
07041040,List 3,10%,2018-09-24,111219
07041060,List 3,10%,2018-09-24,111219
07049020,List 3,10%,2018-09-24,111219
07049040,List 3,10%,2018-09-24,111219
07061005,List 3,10%,2018-09-24,111219
07061010,List 3,10%,2018-09-24,111219
07061020,List 3,10%,2018-09-24,111219
07061040,List 3,10%,2018-09-24,111219
07069020,List 3,10%,2018-09-24,111219
07069030,List 3,10%,2018-09-24,111219
07069040,List 3,10%,2018-09-24,111219
07070050,List 3,10%,2018-09-24,111219
07081020,List 3,10%,2018-09-24,111219
07081040,List 3,10%,2018-09-24,111219
07082020,List 3,10%,2018-09-24,111219
07082090,List 3,10%,2018-09-24,111219
07089015,List 3,10%,2018-09-24,111219
07089040,List 3,10%,2018-09-24,111219
07094020,List 3,10%,2018-09-24,111219
07094040,List 3,10%,2018-09-24,111219
07094060,List 3,10%,2018-09-24,111219
07095101,List 3,10%,2018-09-24,111411
07095910,List 3,10%,2018-09-24,111411
07095990,List 3,10%,2018-09-24,111411
07096020,List 3,10%,2018-09-24,111219
07096040,List 3,10%,2018-09-24,111219
07099320,List 3,10%,2018-09-24,111219
07099905,List 3,10%,2018-09-24,111219
07099910,List 3,10%,2018-09-24,111219
07099914,List 3,10%,2018-09-24,111219
07099930,List 3,10%,2018-09-24,111219
07099945,List 3,10%,2018-09-24,111219
07099990,List 3,10%,2018-09-24,111219
07101000,List 3,10%,2018-09-24,311411
07102120,List 3,10%,2018-09-24,311411
07102140,List 3,10%,2018-09-24,311411
07102210,List 3,10%,2018-09-24,311411
07102215,List 3,10%,2018-09-24,311411
07102220,List 3,10%,2018-09-24,311411
07102225,List 3,10%,2018-09-24,311411
07102237,List 3,10%,2018-09-24,311411
07102240,List 3,10%,2018-09-24,311411
07102905,List 3,10%,2018-09-24,311411
07102925,List 3,10%,2018-09-24,311411
07102930,List 3,10%,2018-09-24,311411
07102940,List 3,10%,2018-09-24,311411
07103000,List 3,10%,2018-09-24,311411
07104000,List 3,10%,2018-09-24,311411
07108015,List 3,10%,2018-09-24,311411
07108020,List 3,10%,2018-09-24,311411
07108040,List 3,10%,2018-09-24,311411
07108045,List 3,10%,2018-09-24,311411
07108050,List 3,10%,2018-09-24,311411
07108065,List 3,10%,2018-09-24,311411
07108070,List 3,10%,2018-09-24,311411
07108093,List 3,10%,2018-09-24,311411
07108097,List 3,10%,2018-09-24,311411
07109011,List 3,10%,2018-09-24,311411
07109091,List 3,10%,2018-09-24,311411
07114000,List 3,10%,2018-09-24,311421
07115100,List 3,10%,2018-09-24,311421
07115910,List 3,10%,2018-09-24,311421
07119020,List 3,10%,2018-09-24,311421
07119050,List 3,10%,2018-09-24,311421
07119065,List 3,10%,2018-09-24,311421
07122020,List 3,10%,2018-09-24,311942
07122040,List 3,10%,2018-09-24,311423
07123110,List 3,10%,2018-09-24,311423
07123120,List 3,10%,2018-09-24,311423
07123200,List 3,10%,2018-09-24,311423
07123300,List 3,10%,2018-09-24,311423
07123910,List 3,10%,2018-09-24,311423
07123920,List 3,10%,2018-09-24,311423
07123940,List 3,10%,2018-09-24,311423
07129010,List 3,10%,2018-09-24,311423
07129015,List 3,10%,2018-09-24,311423
07129020,List 3,10%,2018-09-24,311423
07129030,List 3,10%,2018-09-24,311423
07129040,List 3,10%,2018-09-24,311942
07129040,List 3,10%,2018-09-24,311423
07129060,List 3,10%,2018-09-24,311423
07129065,List 3,10%,2018-09-24,311423
07129070,List 3,10%,2018-09-24,311423
07129074,List 3,10%,2018-09-24,311211
07129078,List 3,10%,2018-09-24,311423
07129085,List 3,10%,2018-09-24,311423
07129085,List 3,10%,2018-09-24,111219
07131010,List 3,10%,2018-09-24,111130
07131020,List 3,10%,2018-09-24,111130
07131040,List 3,10%,2018-09-24,111130
07132010,List 3,10%,2018-09-24,111130
07132020,List 3,10%,2018-09-24,111130
07133110,List 3,10%,2018-09-24,111130
07133120,List 3,10%,2018-09-24,111130
07133140,List 3,10%,2018-09-24,111130
07133210,List 3,10%,2018-09-24,111130
07133220,List 3,10%,2018-09-24,111130
07133310,List 3,10%,2018-09-24,111130
07133320,List 3,10%,2018-09-24,111130
07133340,List 3,10%,2018-09-24,111130
07133420,List 3,10%,2018-09-24,111130
07133440,List 3,10%,2018-09-24,111130
07133500,List 3,10%,2018-09-24,111130
07133911,List 3,10%,2018-09-24,111130
07133921,List 3,10%,2018-09-24,111130
07133941,List 3,10%,2018-09-24,111130
07134010,List 3,10%,2018-09-24,111130
07134020,List 3,10%,2018-09-24,111130
07135010,List 3,10%,2018-09-24,111130
07135020,List 3,10%,2018-09-24,111130
07136060,List 3,10%,2018-09-24,111130
07136080,List 3,10%,2018-09-24,111130
07139011,List 3,10%,2018-09-24,111130
07139050,List 3,10%,2018-09-24,111130
07139061,List 3,10%,2018-09-24,111130
07139081,List 3,10%,2018-09-24,111130
07141020,List 3,10%,2018-09-24,111998
07142010,List 3,10%,2018-09-24,311411
07142020,List 3,10%,2018-09-24,111211
07143010,List 3,10%,2018-09-24,111211
07143020,List 3,10%,2018-09-24,311411
07143060,List 3,10%,2018-09-24,311423
07144010,List 3,10%,2018-09-24,111998
07144020,List 3,10%,2018-09-24,311411
07144050,List 3,10%,2018-09-24,311423
07144060,List 3,10%,2018-09-24,311423
07145010,List 3,10%,2018-09-24,111219
07145020,List 3,10%,2018-09-24,311411
07145050,List 3,10%,2018-09-24,311423
07145060,List 3,10%,2018-09-24,311423
07149005,List 3,10%,2018-09-24,111219
07149039,List 3,10%,2018-09-24,111219
07149041,List 3,10%,2018-09-24,311411
07149042,List 3,10%,2018-09-24,311411
07149044,List 3,10%,2018-09-24,311411
07149046,List 3,10%,2018-09-24,311411
07149048,List 3,10%,2018-09-24,311423
07149051,List 3,10%,2018-09-24,311423
07149061,List 3,10%,2018-09-24,311423
08011100,List 3,10%,2018-09-24,311999
08011901,List 3,10%,2018-09-24,111335
08013100,List 3,10%,2018-09-24,111335
08013200,List 3,10%,2018-09-24,111335
08021100,List 3,10%,2018-09-24,111335
08021200,List 3,10%,2018-09-24,111335
08022200,List 3,10%,2018-09-24,111335
08023100,List 3,10%,2018-09-24,111335
08023200,List 3,10%,2018-09-24,111335
08024100,List 3,10%,2018-09-24,111335
08024200,List 3,10%,2018-09-24,111335
08025100,List 3,10%,2018-09-24,111335
08025200,List 3,10%,2018-09-24,111335
08026200,List 3,10%,2018-09-24,111335
08028020,List 3,10%,2018-09-24,111335
08029010,List 3,10%,2018-09-24,111335
08029015,List 3,10%,2018-09-24,111335
08031020,List 3,10%,2018-09-24,311423
08039000,List 3,10%,2018-09-24,111339
08039000,List 3,10%,2018-09-24,311423
08041020,List 3,10%,2018-09-24,111339
08041040,List 3,10%,2018-09-24,111339
08041060,List 3,10%,2018-09-24,111339
08041080,List 3,10%,2018-09-24,111339
08042040,List 3,10%,2018-09-24,111339
08042060,List 3,10%,2018-09-24,111339
