fips,year,firms,bds_emp,firm_birth_rate
05115,2015,1234.0,23637.0,
05117,2015,132.0,911.0,
05119,2015,8915.0,203091.0,
05121,2015,279.0,3375.0,
05123,2015,378.0,5467.0,
05125,2015,1534.0,20693.0,
05127,2015,131.0,2058.0,
05129,2015,105.0,1058.0,
05131,2015,2617.0,60866.0,
05133,2015,227.0,4020.0,
05135,2015,264.0,2236.0,
05137,2015,204.0,1963.0,
05139,2015,959.0,15825.0,
05141,2015,283.0,3703.0,
05143,2015,4058.0,83229.0,
05145,2015,1287.0,23241.0,
05147,2015,109.0,1134.0,
05149,2015,247.0,4960.0,
05999,2015,225.0,22808.0,
06001,2015,29459.0,631667.0,
06003,2015,27.0,124.0,
06005,2015,712.0,8704.0,
06007,2015,3739.0,59769.0,
06009,2015,746.0,6237.0,
06011,2015,313.0,3872.0,
06013,2015,17315.0,320152.0,
06015,2015,367.0,4193.0,
06017,2015,3475.0,42993.0,
06019,2015,12380.0,252907.0,
06021,2015,390.0,4784.0,
06023,2015,2508.0,33021.0,
06025,2015,1920.0,33156.0,
06027,2015,439.0,5176.0,
06029,2015,9488.0,197495.0,
06031,2015,1321.0,23460.0,
06033,2015,886.0,9386.0,
06035,2015,341.0,3813.0,
06037,2015,187750.0,3837067.0,
06039,2015,1617.0,27118.0,
06041,2015,7926.0,99691.0,
06043,2015,262.0,2987.0,
06045,2015,2023.0,22440.0,
06047,2015,2352.0,41812.0,
06049,2015,140.0,1254.0,
06051,2015,447.0,6143.0,
06053,2015,6754.0,108077.0,
06055,2015,3522.0,61543.0,
06057,2015,2472.0,26678.0,
06059,2015,69499.0,1438856.0,
06061,2015,7851.0,139948.0,
06063,2015,460.0,3672.0,
06065,2015,27063.0,554197.0,
06067,2015,20773.0,448765.0,
06069,2015,853.0,10848.0,
06071,2015,24949.0,567355.0,
06073,2015,59109.0,1246242.0,
06075,2015,25325.0,578621.0,
06077,2015,8482.0,174500.0,
06079,2015,6607.0,91695.0,
06081,2015,16250.0,356969.0,
06083,2015,9051.0,145042.0,
06085,2015,35185.0,983012.0,
06087,2015,5621.0,74477.0,
06089,2015,3364.0,48279.0,
06091,2015,49.0,212.0,
06093,2015,855.0,8103.0,
06095,2015,5345.0,110159.0,
06097,2015,11020.0,163506.0,
06099,2015,6655.0,135915.0,
06101,2015,1437.0,22082.0,
06103,2015,826.0,12286.0,
06105,2015,208.0,1548.0,
06107,2015,4821.0,92721.0,
06109,2015,1102.0,12236.0,
06111,2015,15849.0,255987.0,
06113,2015,3176.0,63154.0,
06115,2015,685.0,9461.0,
06999,2015,577.0,446331.0,
08001,2015,6932.0,163356.0,
08003,2015,417.0,5480.0,
08005,2015,13303.0,282629.0,
08007,2015,404.0,3365.0,
08009,2015,71.0,511.0,
08011,2015,55.0,586.0,
08013,2015,9255.0,147911.0,
08014,2015,1610.0,40045.0,
08015,2015,742.0,5625.0,
08017,2015,55.0,556.0,
08019,2015,259.0,2682.0,
08021,2015,93.0,691.0,
08023,2015,36.0,254.0,
08025,2015,32.0,568.0,
08027,2015,124.0,613.0,
08029,2015,683.0,6850.0,
08031,2015,17864.0,430225.0,
08033,2015,37.0,216.0,
08035,2015,6313.0,98622.0,
08037,2015,2461.0,31410.0,
08039,2015,497.0,2715.0,
08041,2015,11891.0,225523.0,
08043,2015,723.0,7642.0,
08045,2015,1911.0,19669.0,
08047,2015,110.0,4868.0,
08049,2015,717.0,8547.0,
08051,2015,839.0,5266.0,
08053,2015,57.0,159.0,
08055,2015,123.0,1072.0,
08057,2015,64.0,279.0,
08059,2015,12668.0,190813.0,
08061,2015,31.0,213.0,
08063,2015,236.0,2176.0,
08065,2015,172.0,1168.0,
08067,2015,1937.0,21227.0,
08069,2015,8037.0,117221.0,
08071,2015,323.0,3067.0,
08073,2015,115.0,1088.0,
08075,2015,515.0,5453.0,
08077,2015,3620.0,52600.0,
08079,2015,50.0,185.0,
08081,2015,355.0,3360.0,
08083,2015,658.0,6776.0,
08085,2015,1068.0,11786.0,
08087,2015,585.0,8919.0,
08089,2015,357.0,4201.0,
08091,2015,217.0,1114.0,
08093,2015,345.0,1317.0,
08095,2015,118.0,1155.0,
08097,2015,1158.0,16680.0,
08099,2015,304.0,2934.0,
08101,2015,2463.0,49001.0,
08103,2015,194.0,1943.0,
08105,2015,282.0,2607.0,
08107,2015,1302.0,13673.0,
08109,2015,101.0,902.0,
08111,2015,43.0,211.0,
08113,2015,481.0,4723.0,
08115,2015,67.0,486.0,
08117,2015,1548.0,19586.0,
08119,2015,567.0,5232.0,
08121,2015,97.0,504.0,
08123,2015,4783.0,86884.0,
08125,2015,281.0,2382.0,
08999,2015,378.0,54994.0,
09110,2015,17187.0,458092.0,
09120,2015,5297.0,108646.0,
09130,2015,3563.0,62893.0,
09140,2015,7173.0,144112.0,
09150,2015,1371.0,23037.0,
09160,2015,2403.0,31544.0,
09170,2015,10783.0,247227.0,
09180,2015,4490.0,108171.0,
09190,2015,15092.0,290222.0,
09999,2015,295.0,24082.0,
10001,2015,2587.0,53935.0,
10003,2015,11133.0,268266.0,
10005,2015,4007.0,63313.0,
10999,2015,187.0,6164.0,
11001,2015,16197.0,508079.0,
12001,2015,4683.0,87837.0,
12003,2015,336.0,5434.0,
12005,2015,3549.0,63237.0,
12007,2015,372.0,4154.0,
12009,2015,10425.0,171884.0,
12011,2015,44654.0,677609.0,
12013,2015,164.0,1762.0,
12015,2015,3175.0,38217.0,
12017,2015,2185.0,27574.0,
12019,2015,2893.0,39607.0,
12021,2015,8992.0,121596.0,
12023,2015,1101.0,17977.0,
12027,2015,391.0,5189.0,
12029,2015,154.0,1279.0,
12031,2015,17173.0,420050.0,
12033,2015,5002.0,103092.0,
12035,2015,1679.0,17849.0,
12037,2015,274.0,2138.0,
12039,2015,588.0,9056.0,
12041,2015,199.0,1535.0,
12043,2015,95.0,845.0,
12045,2015,253.0,2061.0,
12047,2015,146.0,1870.0,
12049,2015,321.0,4120.0,
12051,2015,497.0,5971.0,
12053,2015,2508.0,32468.0,
12055,2015,1523.0,19864.0,
12057,2015,24951.0,586872.0,
12059,2015,228.0,1748.0,
12061,2015,3489.0,42702.0,
12063,2015,664.0,8925.0,
12065,2015,219.0,1647.0,
12067,2015,85.0,674.0,
12069,2015,5475.0,77199.0,
12071,2015,13273.0,199013.0,
12073,2015,5850.0,97099.0,
12075,2015,603.0,5310.0,
12077,2015,70.0,858.0,
12079,2015,274.0,3060.0,
12081,2015,6662.0,98808.0,
12083,2015,5618.0,79515.0,
12085,2015,4445.0,53303.0,
12086,2015,62635.0,944309.0,
12087,2015,3016.0,31990.0,
12089,2015,1415.0,16998.0,
12091,2015,3984.0,60553.0,
12093,2015,668.0,6891.0,
12095,2015,24909.0,677882.0,
12097,2015,4281.0,74359.0,
12099,2015,35351.0,507664.0,
12101,2015,7064.0,93723.0,
12103,2015,20950.0,368807.0,
12105,2015,8414.0,173273.0,
12107,2015,1021.0,12411.0,
12109,2015,4662.0,58197.0,
12111,2015,4293.0,57495.0,
12113,2015,1998.0,24186.0,
12115,2015,10569.0,138380.0,
12117,2015,9902.0,163465.0,
12119,2015,1197.0,21143.0,
12121,2015,586.0,8649.0,
12123,2015,350.0,4894.0,
12125,2015,113.0,2200.0,
12127,2015,9611.0,143089.0,
12129,2015,371.0,3509.0,
12131,2015,1591.0,16834.0,
12133,2015,333.0,3724.0,
12999,2015,623.0,944940.0,
13001,2015,321.0,5390.0,
13003,2015,80.0,1448.0,
13005,2015,197.0,2360.0,
13007,2015,23.0,233.0,
13009,2015,701.0,12452.0,
13011,2015,244.0,3172.0,
13013,2015,1001.0,16546.0,
13015,2015,1656.0,32360.0,
13017,2015,299.0,4832.0,
13019,2015,201.0,3855.0,
13021,2015,3208.0,72234.0,
13023,2015,143.0,1453.0,
13025,2015,167.0,1288.0,
13027,2015,191.0,2121.0,
13029,2015,540.0,5619.0,
13031,2015,1205.0,17549.0,
13033,2015,259.0,9297.0,
13035,2015,329.0,4401.0,
13037,2015,64.0,545.0,
13039,2015,675.0,7741.0,
13043,2015,183.0,2276.0,
13045,2015,1609.0,32964.0,
13047,2015,779.0,12042.0,
13049,2015,130.0,1886.0,
13051,2015,5773.0,134405.0,
13053,2015,41.0,414.0,
13055,2015,263.0,4643.0,
13057,2015,4081.0,50213.0,
13059,2015,2415.0,45552.0,
13061,2015,33.0,288.0,
13063,2015,2940.0,83553.0,
13065,2015,119.0,1753.0,
