fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
02105,0.0,0.0,4550
02110,0.001832599425032787,0.00019280085791643123,115137
02122,0.0004093063334769496,4.1125367255980154e-05,139260
02130,0.0010604012891152926,0.00010604012891152926,48095
02150,0.035830929506281736,0.0035991293675425346,41947
02158,0.0,0.0,11476
02164,0.0,0.0,4891
02170,9.19410596513595e-05,1.0726456959325275e-05,163148
02180,0.0,0.0,24796
02185,0.0,0.0,83499
02188,0.0,0.0,14847
02195,0.025074183976261127,0.002518480308685361,6740
02198,0.0077214656745753195,0.000772146567457532,14246
02220,0.00021026072329688813,2.126365506787739e-05,23780
02230,0.0,0.0,5562
02240,0.00025906735751295336,2.5906735751295337e-05,15440
02261,0.0005383580080753701,5.444411494095551e-05,33435
02275,0.0,0.0,3949
02282,0.0,0.0,746
02290,0.0,0.0,15047
02999,0.0006202832626899617,6.27292113115837e-05,9673
04000,0.004957309212448513,0.0005879819345885424,24879021
04001,0.0001143379830779785,1.1433798307797851e-05,122444
04003,0.0008221461821586667,0.00010163983683353711,262727
04005,0.00026612298400842795,3.072074905486316e-05,454677
04007,0.0,0.0,99463
04009,0.0008415097042182912,9.016175402338833e-05,55852
04011,0.0,0.0,11037
04012,0.0052823206398472005,0.0005282320639847201,33508
04013,0.004766121832566462,0.0005662028843446742,16998936
04015,0.000544006217213911,6.641626701855962e-05,386025
04017,0.000595103429959769,5.951034299597691e-05,203326
04019,0.0018297285374240342,0.00020660263140820682,2933222
04021,0.0014468952131700397,0.000155549860956287,455458
04023,0.00026535756932466497,3.7150059705453094e-05,97981
04025,0.0023891129231627265,0.00027339134899648877,505627
04027,0.00716002453716274,0.0008401929588925874,497205
04999,0.00020443473794956943,2.4377384177536755e-05,200553
05000,0.009613267583045709,0.0011867992535590924,10582666
05001,0.0008245222621010767,0.0001172114980437805,61854
05003,0.006478482184173994,0.0006575439060399727,43220
05005,0.0009942923793225427,0.0001412347129719521,104597
05007,0.0005314223599983896,6.046193229942288e-05,869365
05009,0.000998233012827868,0.00013190936240939683,87154
05011,0.012269641125121241,0.0012269641125121243,20620
05013,0.0845912845343207,0.012688692680148104,21066
05015,0.0,0.0,68779
05017,0.002963276537199704,0.0003183758422408015,18898
05019,0.004216406625273532,0.000436151239125407,56209
05021,0.004185559818625741,0.0006012589898184596,20069
05023,0.000230984223777516,2.30984223777516e-05,43293
05025,0.018166631864689916,0.0018166631864689918,4789
05027,0.0005256407560816636,5.256407560816636e-05,47561
05029,0.0,0.0,40067
05031,0.0004923519486626283,5.9780965929833244e-05,361530
05033,0.0003471238311136299,3.4712383111362996e-05,141160
05035,0.0008969073943115374,0.0001145158548094195,115954
05037,0.002705042198658299,0.0003902989458064117,27726
05039,0.0,0.0,15037
05041,0.00469569683407315,0.0005412367081907417,27259
05043,0.006170182235614866,0.0006772851198163295,34845
05045,0.0013418049864094817,0.00013632004039305665,289908
05047,0.0,0.0,24803
05049,0.0,0.0,10590
05051,0.0024453598323990714,0.00025468919531047954,282576
05053,0.0,0.0,22577
05055,0.0008896352495476854,9.995901680311071e-05,100041
05057,0.0,0.0,44417
05059,0.0,0.0,54118
05061,0.0007546030787805615,7.546030787805615e-05,39756
05063,0.00023332458366144603,3.1845652634873035e-05,102861
05065,0.0,0.0,18324
05067,0.004150045039248488,0.0005003877896684486,31084
05069,0.00019607134933206748,2.7088804841930375e-05,193807
05071,0.0,0.0,49672
05073,0.0047088369172814315,0.00047088369172814315,6371
05075,0.0019303363074811256,0.00022520590253946466,23312
05077,0.008647450110864745,0.000912258473234083,9020
05079,0.001041283841724856,0.0001561925762587284,16326
05081,0.002471493568499691,0.0002471493568499691,17803
05083,0.0,0.0,30195
05085,0.0007766188570922997,0.00010666221011963864,101723
05087,0.0017818364051450527,0.00017818364051450528,17959
05089,0.0011215477358755082,0.00011215477358755083,21399
05091,0.0,0.0,84628
05093,0.018528391398746746,0.002613064522405575,129423
05095,0.000800990315298915,0.00012014854729483725,13733
05097,0.002435879065768735,0.0002435879065768735,6979
05099,0.005053057099545225,0.0005053057099545225,11874
05101,0.004142502071251036,0.0004142502071251036,6035
05103,0.007008873413456138,0.0007008873413456139,44515
05105,0.0,0.0,5907
05107,0.0038707990061462015,0.0004378447609969312,38235
05109,0.0,0.0,17119
05111,0.00719309462915601,0.0008823909998782122,37536
05113,0.0007876230661040788,7.876230661040788e-05,35550
05115,0.0005235193869253818,5.235193869253818e-05,179554
05117,0.011789804626094767,0.0013272773082547802,8906
05119,0.0011706065611022196,0.00013739830795420836,2033134
05121,0.0006969855375500958,0.00010454783063251436,28695
05123,0.000612369871402327,6.123698714023271e-05,44091
05125,0.0008997495601542755,0.00010726313758527085,174493
05127,0.0,0.0,14967
05129,0.004938555185482945,0.0004938555185482945,8707
05131,0.006879376811738572,0.0009158549058683565,501935
05133,0.0,0.0,27652
05135,0.0,0.0,21870
05137,0.0,0.0,15733
05139,0.007530169206380019,0.0008147261896169982,123636
05141,0.0,0.0,20666
05143,0.0014474688904495244,0.00016940333525831052,815907
05145,0.0,0.0,170915
05147,0.002710309600750547,0.00040654644011258205,9593
05149,0.000642243570874254,6.422435708742541e-05,37369
05999,2.2488587042076146e-05,2.4737445746283763e-06,222335
06000,0.008003249730232124,0.0009550574586159076,154366044
06001,0.0061480595409442946,0.0007009331956741448,6745543
06003,0.0,0.0,3011
06005,0.00114720759242843,0.00013753454659227201,76708
06007,0.002920795908991157,0.0003606546501986262,633389
06009,0.0029943567891281813,0.00042003257596946405,60781
06011,0.024476376035070628,0.0030254343809113012,57484
06013,0.0024422702547861113,0.0002793046738307023,3113906
06015,0.0017071621407019216,0.00017181529362471056,50376
06017,0.0011971818065060638,0.00014779002990661063,436024
06019,0.007017815114501194,0.0009209274715933088,3259704
06021,0.019092145528731723,0.0024378909581421735,58820
06023,0.002290152613825716,0.00023510115956124758,370281
06025,0.0027436987333494447,0.00030331019342008355,492401
06027,0.0,0.0,53044
06029,0.007190567079153694,0.0009495601673265776,2697701
06031,0.005215540180947312,0.000603143351731925,347615
06033,0.001011423669119971,0.00012255012629515616,110735
06035,0.0012538997775820634,0.00012538997775820635,66991
06037,0.006748470893086033,0.0008111253467021263,39043215
06039,0.0048872845061105315,0.0006446963605498607,350706
06041,0.0006119608218242774,8.289937254158536e-05,946139
