fips,year,gdp_current_dollars
08043,2015,1284182.0
08045,2015,3544306.0
08047,2015,575774.0
08049,2015,847181.0
08051,2015,938843.0
08053,2015,35612.0
08055,2015,191340.0
08057,2015,83849.0
08059,2015,27819206.0
08061,2015,45435.0
08063,2015,328879.0
08065,2015,238626.0
08067,2015,3253241.0
08069,2015,16158773.0
08071,2015,541935.0
08073,2015,350144.0
08075,2015,1190273.0
08077,2015,5961466.0
08079,2015,51546.0
08081,2015,1087956.0
08083,2015,1512935.0
08085,2015,1421117.0
08087,2015,1513413.0
08089,2015,542612.0
08091,2015,210758.0
08093,2015,346762.0
08095,2015,161672.0
08097,2015,2004531.0
08099,2015,504569.0
08101,2015,5705180.0
08103,2015,583480.0
08105,2015,398344.0
08107,2015,1760071.0
08109,2015,187992.0
08111,2015,40833.0
08113,2015,614466.0
08115,2015,88901.0
08117,2015,2268403.0
08119,2015,840571.0
08121,2015,174470.0
08123,2015,15944835.0
08125,2015,600118.0
09000,2015,260648526.0
09001,2015,88053584.0
09003,2015,81136241.0
09005,2015,7989266.0
09007,2015,9306652.0
09009,2015,47298071.0
09011,2015,17324858.0
09013,2015,4959975.0
09015,2015,4579878.0
10000,2015,72352454.0
10001,2015,7205348.0
10003,2015,52967313.0
10005,2015,12179793.0
11000,2015,124753577.0
11001,2015,124753577.0
12000,2015,918464307.0
12001,2015,12133282.0
12003,2015,606938.0
12005,2015,8000585.0
12007,2015,592235.0
12009,2015,21977948.0
12011,2015,95914556.0
12013,2015,234857.0
12015,2015,4689098.0
12017,2015,3689536.0
12019,2015,4716060.0
12021,2015,16827690.0
12023,2015,2039365.0
12027,2015,862561.0
12029,2015,258090.0
12031,2015,56665893.0
12033,2015,14326145.0
12035,2015,2343958.0
12037,2015,312535.0
12039,2015,1110533.0
12041,2015,314971.0
12043,2015,263454.0
12045,2015,387835.0
12047,2015,444164.0
12049,2015,974414.0
12051,2015,1168890.0
12053,2015,3734950.0
12055,2015,2328983.0
12057,2015,79816399.0
12059,2015,351270.0
12061,2015,5739183.0
12063,2015,1194866.0
12065,2015,257423.0
12067,2015,197515.0
12069,2015,8858036.0
12071,2015,28051165.0
12073,2015,13726739.0
12075,2015,821276.0
12077,2015,169434.0
12079,2015,442221.0
12081,2015,13053034.0
12083,2015,8809303.0
12085,2015,7331577.0
12086,2015,142337702.0
12087,2015,4469054.0
12089,2015,2350976.0
12091,2015,10293081.0
12093,2015,1186352.0
12095,2015,84357128.0
12097,2015,9037852.0
12099,2015,74144109.0
12101,2015,11440006.0
12103,2015,45831656.0
12105,2015,23090744.0
12107,2015,2101518.0
12109,2015,7570212.0
12111,2015,8473272.0
12113,2015,3927394.0
12115,2015,18052676.0
12117,2015,18646256.0
12119,2015,2874279.0
12121,2015,1259963.0
12123,2015,871444.0
12125,2015,294090.0
12127,2015,16271271.0
12129,2015,652833.0
12131,2015,2661900.0
12133,2015,529576.0
13000,2015,525516840.0
13001,2015,1507251.0
13003,2015,218389.0
13005,2015,325148.0
13007,2015,70169.0
13009,2015,1307532.0
13011,2015,415368.0
13013,2015,1891828.0
13015,2015,4432741.0
13017,2015,508078.0
13019,2015,356270.0
13021,2015,8084729.0
13023,2015,228516.0
13025,2015,237348.0
13027,2015,304132.0
13029,2015,833274.0
13031,2015,2165442.0
13033,2015,2203770.0
13035,2015,549694.0
13037,2015,115507.0
13039,2015,1849465.0
13043,2015,236719.0
13045,2015,4011945.0
13047,2015,1361849.0
13049,2015,224340.0
13051,2015,16581563.0
13053,2015,1853606.0
13055,2015,580303.0
13057,2015,6757384.0
13059,2015,6942172.0
13061,2015,68152.0
13063,2015,16426701.0
13065,2015,232351.0
13067,2015,45742316.0
13069,2015,1331568.0
13071,2015,1333039.0
13073,2015,3560631.0
13075,2015,335077.0
13077,2015,3978798.0
13079,2015,161491.0
13081,2015,727976.0
13083,2015,354046.0
13085,2015,722714.0
13087,2015,756327.0
13089,2015,36718785.0
13091,2015,448454.0
13093,2015,356586.0
13095,2015,4322537.0
13097,2015,3903323.0
13099,2015,534835.0
13101,2015,43537.0
13103,2015,1777319.0
13105,2015,631229.0
13107,2015,624425.0
13109,2015,366404.0
13111,2015,614907.0
13113,2015,4394325.0
13115,2015,4015162.0
13117,2015,9547958.0
13119,2015,851938.0
13121,2015,144399959.0
13123,2015,853865.0
13125,2015,36251.0
13127,2015,3816700.0
13129,2015,1999324.0
13131,2015,591309.0
13133,2015,627861.0
13135,2015,44707626.0
13137,2015,1374856.0
13139,2015,9089479.0
13141,2015,170621.0
13143,2015,722356.0
13145,2015,500289.0
13147,2015,743794.0
13149,2015,1283048.0
13151,2015,5610417.0
13153,2015,6297317.0
13155,2015,166015.0
13157,2015,2528868.0
13159,2015,257446.0
13161,2015,375776.0
13163,2015,484185.0
13165,2015,142664.0
13167,2015,135430.0
13169,2015,432730.0
13171,2015,388796.0
13173,2015,134505.0
13175,2015,1568250.0
13177,2015,554358.0
13179,2015,3522605.0
13181,2015,131419.0
13183,2015,160783.0
13185,2015,4566289.0
13187,2015,719964.0
13189,2015,604813.0
13191,2015,253684.0
13193,2015,455050.0
13195,2015,504182.0
13197,2015,122787.0
13199,2015,497377.0
13201,2015,163692.0
13205,2015,787142.0
13207,2015,1780076.0
13209,2015,158903.0
13211,2015,698095.0
13213,2015,1163984.0
13215,2015,9967528.0
13217,2015,2590632.0
13219,2015,1185696.0
13221,2015,302090.0
13223,2015,2527459.0
13225,2015,820936.0
13227,2015,903755.0
13229,2015,377977.0
13231,2015,283846.0
13233,2015,1098523.0
13235,2015,286445.0
13237,2015,532045.0
13239,2015,41118.0
13241,2015,495312.0
13243,2015,194950.0
13245,2015,11958350.0
13247,2015,3734279.0
13249,2015,106854.0
13251,2015,322986.0
13253,2015,274640.0
13255,2015,1962842.0
13257,2015,884232.0
13259,2015,102727.0
13261,2015,1021139.0
13263,2015,114392.0
13265,2015,30714.0
13267,2015,620098.0
13269,2015,158531.0
13271,2015,364981.0
13273,2015,239786.0
13275,2015,2065708.0
13277,2015,1946525.0
13279,2015,961150.0
13281,2015,327406.0
13283,2015,98483.0
13285,2015,3448720.0
13287,2015,204215.0
13289,2015,173719.0
13291,2015,736262.0
13293,2015,663823.0
13295,2015,1407262.0
13297,2015,2213316.0
13299,2015,1329663.0
13301,2015,152407.0
13303,2015,616816.0
13305,2015,729329.0
13307,2015,56452.0
13309,2015,107551.0
13311,2015,781514.0
13313,2015,5442186.0
13315,2015,145592.0
13317,2015,324056.0
13319,2015,420221.0
13321,2015,337222.0
15000,2015,81410232.0
15001,2015,7552318.0
15003,2015,61397563.0
15007,2015,3547143.0
15901,2015,8913207.0
16000,2015,66064893.0
16001,2015,22615965.0
16003,2015,120248.0
16005,2015,2659113.0
16007,2015,166652.0
16009,2015,321602.0
16011,2015,1249509.0
16013,2015,1311612.0
16015,2015,138060.0
16017,2015,1325665.0
16019,2015,4611781.0
16021,2015,344651.0
16023,2015,947704.0
16025,2015,66189.0
16027,2015,5069891.0
16029,2015,508922.0
16031,2015,1383843.0
16033,2015,49784.0
16035,2015,360976.0
16037,2015,181647.0
16039,2015,1112187.0
16041,2015,326172.0
16043,2015,318003.0
16045,2015,326969.0
16047,2015,892389.0
16049,2015,457252.0
16051,2015,611518.0
16053,2015,1084386.0
16055,2015,5394437.0
16057,2015,1219817.0
16059,2015,221226.0
16061,2015,148100.0
16063,2015,208196.0
16065,2015,1048174.0
16067,2015,754006.0
16069,2015,1943857.0
16071,2015,118844.0
16073,2015,370489.0
16075,2015,789583.0
16077,2015,354202.0
16079,2015,672288.0
16081,2015,272262.0
16083,2015,3159953.0
16085,2015,429985.0
16087,2015,396782.0
17000,2015,802591985.0
17001,2015,3497290.0
17003,2015,165068.0
17005,2015,561402.0
17007,2015,1742995.0
17009,2015,436447.0
17011,2015,1330510.0
17013,2015,85099.0
17015,2015,561919.0
17017,2015,588251.0
17019,2015,11217591.0
17021,2015,1495122.0
17023,2015,519974.0
17025,2015,644135.0
17027,2015,1033833.0
17029,2015,2223865.0
17031,2015,377847180.0
17033,2015,1856971.0
17035,2015,525220.0
17037,2015,3892346.0
17039,2015,1133835.0
17041,2015,1013164.0
17043,2015,87152170.0
17045,2015,779995.0
17047,2015,277376.0
17049,2015,1843570.0
17051,2015,536874.0
17053,2015,579515.0
17055,2015,1062052.0
17057,2015,910694.0
17059,2015,163173.0
17061,2015,274223.0
17063,2015,3449489.0
17065,2015,378356.0
17067,2015,435798.0
17069,2015,87714.0
17071,2015,142414.0
17073,2015,1447477.0
17075,2015,1150899.0
17077,2015,2521645.0
17079,2015,565537.0
17081,2015,1763672.0
17083,2015,504678.0
17085,2015,880205.0
17087,2015,221118.0
17089,2015,24664344.0
17091,2015,4899777.0
17093,2015,3370504.0
17095,2015,1828516.0
17097,2015,60174233.0
17099,2015,5527945.0
17101,2015,507621.0
17103,2015,1376671.0
17105,2015,1644092.0
17107,2015,913617.0
17109,2015,1216192.0
17111,2015,11673558.0
17113,2015,13767676.0
17115,2015,8099512.0
17117,2015,1199041.0
17119,2015,13952182.0
17121,2015,1294928.0
17123,2015,356559.0
17125,2015,461010.0
17127,2015,699659.0
17129,2015,224686.0
17131,2015,358964.0
17133,2015,901167.0
17135,2015,1149439.0
17137,2015,1382844.0
17139,2015,577511.0
17141,2015,2838274.0
17143,2015,11900882.0
17145,2015,633901.0
17147,2015,397879.0
17149,2015,442957.0
17151,2015,68430.0
17153,2015,205685.0
17155,2015,337395.0
17157,2015,1634277.0
17159,2015,650543.0
17161,2015,10064804.0
17163,2015,11180354.0
17165,2015,1078094.0
17167,2015,10743457.0
17169,2015,206381.0
17171,2015,138540.0
17173,2015,637806.0
17175,2015,188190.0
17177,2015,2135618.0
17179,2015,9402170.0
17181,2015,401556.0
17183,2015,3178239.0
17185,2015,332579.0
17187,2015,699939.0
17189,2015,885359.0
17191,2015,431448.0
17193,2015,536246.0
17195,2015,2039371.0
17197,2015,30137206.0
17199,2015,2715666.0
17201,2015,13496306.0
17203,2015,1129327.0
18000,2015,333163758.0
18001,2015,1547824.0
18003,2015,19285184.0
18005,2015,6311945.0
18007,2015,350592.0
18009,2015,293637.0
18011,2015,2931141.0
18013,2015,275308.0
18015,2015,546041.0
18017,2015,1333168.0
18019,2015,4940746.0
18021,2015,709434.0
18023,2015,1372524.0
18025,2015,191557.0
18027,2015,1219548.0
18029,2015,1760941.0
18031,2015,1294721.0
18033,2015,2395882.0
18035,2015,3868980.0
18037,2015,2736489.0
18039,2015,13471934.0
18041,2015,555015.0
18043,2015,2666313.0
18045,2015,466008.0
18047,2015,511472.0
18049,2015,597962.0
18051,2015,2939898.0
18053,2015,3475242.0
18055,2015,617794.0
18057,2015,17390100.0
18059,2015,2293495.0
18061,2015,979028.0
18063,2015,5795739.0
18065,2015,1124156.0
18067,2015,4442735.0
18069,2015,1418178.0
18071,2015,2191160.0
18073,2015,1469844.0
18075,2015,1038297.0
18077,2015,1402579.0
18079,2015,666417.0
18081,2015,4796335.0
18083,2015,1772272.0
18085,2015,5117791.0
18087,2015,1574056.0
18089,2015,23061797.0
18091,2015,3997955.0
18093,2015,1259727.0
18095,2015,3636270.0
18097,2015,84212720.0
18099,2015,1585676.0
18101,2015,933166.0
18103,2015,898104.0
18105,2015,6139799.0
18107,2015,1621247.0
18109,2015,1449084.0
18111,2015,367487.0
18113,2015,1907069.0
18115,2015,125202.0
18117,2015,632754.0
18119,2015,447729.0
18121,2015,302782.0
18123,2015,793891.0
18125,2015,765218.0
18127,2015,6612221.0
18129,2015,1295965.0
18131,2015,533406.0
18133,2015,1018114.0
18135,2015,782193.0
18137,2015,1111751.0
18139,2015,447337.0
18141,2015,13152077.0
18143,2015,621345.0
18145,2015,1826998.0
18147,2015,1230528.0
18149,2015,435217.0
18151,2015,1322306.0
18153,2015,929090.0
18155,2015,230089.0
18157,2015,8672721.0
18159,2015,473851.0
18161,2015,130837.0
18163,2015,10475670.0
18165,2015,783444.0
18167,2015,4765285.0
18169,2015,1184700.0
18171,2015,204839.0
18173,2015,2155670.0
18175,2015,646708.0
18177,2015,2574194.0
18179,2015,1123087.0
18181,2015,946207.0
18183,2015,1200750.0
19000,2015,181471666.0
19001,2015,339861.0
19003,2015,233659.0
19005,2015,625147.0
19007,2015,405922.0
19009,2015,219140.0
19011,2015,762981.0
19013,2015,8485844.0
19015,2015,976701.0
19017,2015,1124307.0
19019,2015,692756.0
19021,2015,1851146.0
19023,2015,432827.0
19025,2015,360864.0
19027,2015,1301462.0
19029,2015,658089.0
19031,2015,591028.0
19033,2015,2578559.0
19035,2015,725863.0
19037,2015,700928.0
19039,2015,406287.0
19041,2015,964767.0
19043,2015,796205.0
19045,2015,2425795.0
19047,2015,783057.0
19049,2015,4913694.0
19051,2015,222337.0
19053,2015,191850.0
19055,2015,923762.0
19057,2015,2285898.0
19059,2015,946216.0
19061,2015,6111644.0
19063,2015,413207.0
19065,2015,736235.0
19067,2015,769396.0
19069,2015,574287.0
19071,2015,290299.0
19073,2015,407736.0
19075,2015,478549.0
19077,2015,484411.0
19079,2015,821299.0
19081,2015,815731.0
19083,2015,875103.0
19085,2015,422724.0
19087,2015,884859.0
19089,2015,472271.0
19091,2015,447990.0
19093,2015,397679.0
19095,2015,836216.0
19097,2015,640629.0
19099,2015,1104075.0
19101,2015,634255.0
19103,2015,8717733.0
19105,2015,648100.0
19107,2015,327660.0
19109,2015,986692.0
19111,2015,2002411.0
19113,2015,16044373.0
19115,2015,609454.0
19117,2015,290466.0
19119,2015,785964.0
19121,2015,386579.0
19123,2015,787805.0
19125,2015,1648396.0
19127,2015,1810726.0
19129,2015,448598.0
19131,2015,626233.0
19133,2015,334168.0
19135,2015,397801.0
19137,2015,425198.0
19139,2015,2598455.0
19141,2015,808732.0
19143,2015,415047.0
19145,2015,586237.0
19147,2015,586260.0
19149,2015,1319723.0
19151,2015,610512.0
19153,2015,41089597.0
19155,2015,4359775.0
19157,2015,1117756.0
19159,2015,167681.0
19161,2015,528023.0
19163,2015,9099174.0
19165,2015,714687.0
19167,2015,2417650.0
19169,2015,5219072.0
19171,2015,546699.0
19173,2015,229821.0
19175,2015,580012.0
19177,2015,219582.0
19179,2015,1762510.0
19181,2015,1101533.0
19183,2015,998580.0
19185,2015,224060.0
19187,2015,2233154.0
19189,2015,456508.0
19191,2015,1045229.0
19193,2015,5359496.0
19195,2015,411674.0
19197,2015,840530.0
20000,2015,155698974.0
20001,2015,507862.0
20003,2015,228178.0
20005,2015,605572.0
20007,2015,210681.0
20009,2015,1245396.0
20011,2015,577147.0
20013,2015,475417.0
20015,2015,1958787.0
20017,2015,104216.0
20019,2015,72465.0
20021,2015,553275.0
20023,2015,113334.0
20025,2015,105516.0
20027,2015,249532.0
20029,2015,347628.0
20031,2015,847773.0
20033,2015,59861.0
20035,2015,1336464.0
20037,2015,1414161.0
20039,2015,141135.0
20041,2015,599132.0
20043,2015,288565.0
20045,2015,4488292.0
20047,2015,220157.0
20049,2015,86076.0
20051,2015,1513269.0
20053,2015,250714.0
20055,2015,2111326.0
20057,2015,1809265.0
20059,2015,844256.0
20061,2015,2942213.0
20063,2015,195004.0
20065,2015,128795.0
20067,2015,503566.0
20069,2015,699936.0
20071,2015,62620.0
20073,2015,154109.0
20075,2015,247726.0
20077,2015,281193.0
20079,2015,1232387.0
20081,2015,379628.0
20083,2015,138823.0
20085,2015,345246.0
20087,2015,385638.0
20089,2015,116123.0
20091,2015,44206144.0
20093,2015,214056.0
20095,2015,311738.0
20097,2015,121487.0
20099,2015,803231.0
20101,2015,150366.0
20103,2015,2712347.0
20105,2015,125375.0
20107,2015,535353.0
20109,2015,147700.0
20111,2015,1190592.0
20113,2015,1630000.0
20115,2015,334684.0
20117,2015,573461.0
20119,2015,237253.0
20121,2015,798076.0
20123,2015,371836.0
20125,2015,1321813.0
20127,2015,164345.0
20129,2015,107191.0
20131,2015,424914.0
20133,2015,521807.0
20135,2015,149207.0
20137,2015,221959.0
20139,2015,276582.0
20141,2015,169916.0
20143,2015,116995.0
20145,2015,356119.0
20147,2015,261695.0
20149,2015,1494420.0
20151,2015,497938.0
20153,2015,115249.0
20155,2015,2329805.0
20157,2015,212708.0
20159,2015,464218.0
20161,2015,2687498.0
20163,2015,206740.0
20165,2015,134628.0
20167,2015,282877.0
20169,2015,2806964.0
20171,2015,489624.0
20173,2015,28410163.0
20175,2015,1442639.0
20177,2015,9751769.0
20179,2015,145036.0
20181,2015,271026.0
20183,2015,162509.0
20185,2015,139278.0
20187,2015,155675.0
20189,2015,269293.0
20191,2015,629228.0
20193,2015,406269.0
20195,2015,194175.0
20197,2015,131812.0
20199,2015,76602.0
20201,2015,217692.0
20203,2015,259574.0
20205,2015,326115.0
20207,2015,66578.0
20209,2015,11186172.0
21000,2015,194621164.0
21001,2015,370145.0
21003,2015,425231.0
21005,2015,476811.0
21007,2015,251285.0
21009,2015,1446267.0
21011,2015,174652.0
21013,2015,737709.0
21015,2015,9291133.0
21017,2015,852185.0
21019,2015,3410402.0
21021,2015,1148497.0
21023,2015,127471.0
21025,2015,251953.0
21027,2015,374552.0
21029,2015,2402413.0
21031,2015,303017.0
21033,2015,349606.0
21035,2015,1331244.0
21037,2015,3040324.0
21039,2015,132780.0
21041,2015,1879761.0
21043,2015,520587.0
21045,2015,310036.0
21047,2015,5848400.0
21049,2015,1412965.0
21051,2015,354415.0
21053,2015,366928.0
21055,2015,180944.0
21057,2015,144632.0
21059,2015,4514224.0
21061,2015,163998.0
21063,2015,79532.0
21065,2015,209597.0
21067,2015,19337544.0
21069,2015,296702.0
21071,2015,1066333.0
21073,2015,3116547.0
21075,2015,205324.0
21077,2015,365275.0
21079,2015,239942.0
21081,2015,501352.0
21083,2015,1123915.0
21085,2015,678325.0
21087,2015,160848.0
21089,2015,807262.0
21091,2015,813607.0
21093,2015,4853483.0
21095,2015,570321.0
21097,2015,492568.0
21099,2015,527972.0
21101,2015,1957857.0
21103,2015,338813.0
21105,2015,165132.0
21107,2015,1947024.0
21109,2015,171684.0
21111,2015,51394754.0
21113,2015,1727317.0
21115,2015,448894.0
21117,2015,6945400.0
21119,2015,273159.0
21121,2015,736695.0
21123,2015,220835.0
21125,2015,2004803.0
21127,2015,440841.0
21129,2015,128934.0
21131,2015,169927.0
21133,2015,411126.0
21135,2015,190066.0
21137,2015,389188.0
21139,2015,282285.0
21141,2015,1111770.0
21143,2015,200987.0
21145,2015,4347361.0
21147,2015,245393.0
21149,2015,282164.0
21151,2015,2896644.0
21153,2015,162819.0
21155,2015,769548.0
21157,2015,1325241.0
21159,2015,306693.0
21161,2015,1075458.0
21163,2015,493369.0
21165,2015,80703.0
21167,2015,792393.0
21169,2015,180107.0
21171,2015,291064.0
21173,2015,946125.0
21175,2015,234205.0
21177,2015,1491774.0
21179,2015,1740520.0
21181,2015,99018.0
21183,2015,964596.0
21185,2015,1587566.0
21187,2015,209687.0
21189,2015,53301.0
21191,2015,274999.0
21193,2015,1073694.0
21195,2015,2178353.0
21197,2015,208169.0
21199,2015,2055566.0
21201,2015,24465.0
21203,2015,281551.0
21205,2015,727419.0
21207,2015,539548.0
21209,2015,2743270.0
21211,2015,1459490.0
21213,2015,816782.0
21215,2015,235868.0
21217,2015,806598.0
21219,2015,317651.0
21221,2015,274765.0
21223,2015,498168.0
21225,2015,632587.0
21227,2015,5711507.0
21229,2015,310499.0
21231,2015,404033.0
21233,2015,638762.0
21235,2015,1007293.0
21237,2015,97657.0
21239,2015,1028209.0
22000,2015,234324242.0
22001,2015,1551066.0
22003,2015,627217.0
22005,2015,7849929.0
22007,2015,462057.0
22009,2015,852483.0
22011,2015,952672.0
22013,2015,479182.0
22015,2015,5043114.0
22017,2015,12169301.0
22019,2015,11841562.0
22021,2015,181268.0
22023,2015,1068247.0
22025,2015,170618.0
22027,2015,451509.0
22029,2015,508242.0
22031,2015,1885495.0
22033,2015,40083692.0
22035,2015,146884.0
22037,2015,487294.0
22039,2015,853608.0
22041,2015,410603.0
22043,2015,340955.0
22045,2015,3482060.0
22047,2015,1698728.0
22049,2015,509347.0
22051,2015,22925583.0
22053,2015,866205.0
22055,2015,14785755.0
22057,2015,4466751.0
22059,2015,409841.0
22061,2015,1789295.0
22063,2015,2801727.0
22065,2015,307706.0
22067,2015,604877.0
22069,2015,1283502.0
22071,2015,22760592.0
22073,2015,6817567.0
22075,2015,2973355.0
22077,2015,878882.0
22079,2015,5469597.0
22081,2015,472587.0
22083,2015,507988.0
22085,2015,681280.0
22087,2015,1368651.0
22089,2015,6562001.0
22091,2015,171115.0
22093,2015,1785980.0
22095,2015,2794812.0
22097,2015,2292455.0
22099,2015,1335985.0
22101,2015,2801929.0
22103,2015,10224493.0
22105,2015,3543681.0
22107,2015,97338.0
22109,2015,6355766.0
22111,2015,841099.0
22113,2015,1602927.0
22115,2015,2032123.0
22117,2015,1092124.0
22119,2015,1194087.0
22121,2015,1859378.0
22123,2015,187820.0
22125,2015,826141.0
22127,2015,444114.0
23000,2015,58755816.0
23001,2015,4353322.0
